,Position,Track Name,Artist,Streams,URL,date
47,48,SORA,GENERATIONS from EXILE TRIBE,44544,https://open.spotify.com/track/3Xrd2febrBti5pNuRTVmra,2017-08-27
48,49,Rich Love (with Seeb),OneRepublic,44477,https://open.spotify.com/track/7aF09WaavZAmAWuUeYxlYD,2017-08-27
49,50,XO Tour Llif3,Lil Uzi Vert,43178,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO,2017-08-27
50,51,Most Girls,Hailee Steinfeld,41669,https://open.spotify.com/track/2mfUa8bLs2s5N4VaqJZ4lZ,2017-08-27
51,52,No Promises (feat. Demi Lovato),Cheat Codes,38845,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW,2017-08-27
52,53,Decided,UVERworld,37062,https://open.spotify.com/track/4Rby6ujcqaaZIav9LQ2u67,2017-08-27
53,54,Despacito (Featuring Daddy Yankee),Luis Fonsi,36275,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2,2017-08-27
54,55,さよならの前に,AAA,36256,https://open.spotify.com/track/7vwXjDrZT2mqiFynlEwwgG,2017-08-27
55,56,CHEER UP - Japanese ver.,TWICE,34445,https://open.spotify.com/track/5UnRutJ5phJ9Ti4WnFgEoJ,2017-08-27
56,57,Slow Hands,Niall Horan,34444,https://open.spotify.com/track/167NczpNbRF7oWakJaY3Hh,2017-08-27
57,58,Sorry,Justin Bieber,33612,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ,2017-08-27
58,59,Galway Girl,Ed Sheeran,33346,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve,2017-08-27
59,60,Kimi Ga Suki,Shota Shimizu,33107,https://open.spotify.com/track/5Bg0HkfaRYRx8A7tMrjT9Z,2017-08-27
60,61,キラキラ,AI,33093,https://open.spotify.com/track/2ISFfVz2EALjmUHfDxRnsB,2017-08-27
61,62,Take What You Want (feat. 5 Seconds of Summer),ONE OK ROCK,32539,https://open.spotify.com/track/4u3qi4mgvCQzeTSIuUWHzl,2017-08-27
62,63,ワタリドリ,[Alexandros],32102,https://open.spotify.com/track/0ve9Tpz8Yw0I4eXhWsy21o,2017-08-27
63,64,As If It's Your Last,BLACKPINK,32100,https://open.spotify.com/track/7LJjWqhqK594nN7qJzLVXE,2017-08-27
64,65,The Beginning,ONE OK ROCK,31982,https://open.spotify.com/track/4f3nDjgqXurMryYBSp0TZD,2017-08-27
65,66,Young Dumb & Broke,Khalid,31733,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY,2017-08-27
66,67,HUMBLE.,Kendrick Lamar,31241,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,2017-08-27
67,68,愛をこめて花束を,Superfly,30196,https://open.spotify.com/track/7CmWXD3w1xOO53AAO4LRVQ,2017-08-27
68,69,No Way Back,AAA,29855,https://open.spotify.com/track/0KMw8ZsfzGtWn7WEwgvMmo,2017-08-27
69,70,Love Yourself,Justin Bieber,29845,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT,2017-08-27
70,71,Like OOH-AHH - Japanese ver.,TWICE,29595,https://open.spotify.com/track/2bnUATKYS3JykGpZjjlbXV,2017-08-27
71,72,愛唄,GReeeeN,29543,https://open.spotify.com/track/7iXHLtPosbHvglVSJ4rxLq,2017-08-27
72,73,Slow & Easy,HIRAIDAI,29472,https://open.spotify.com/track/4b5oBON2DgamONUxvP4JyQ,2017-08-27
73,74,BOOMBAYAH - KR Ver.,BLACKPINK,29260,https://open.spotify.com/track/1qAPA8TooLVEqAZ58fhcrt,2017-08-27
74,75,Questions,Chris Brown,28991,https://open.spotify.com/track/5XQMr19TL7Mfksq9zihbOu,2017-08-27
75,76,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,28966,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,2017-08-27
76,77,Side To Side,Ariana Grande,28474,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz,2017-08-27
77,78,KNOCK KNOCK - Japanese ver.,TWICE,28458,https://open.spotify.com/track/5LkQpbBFgoyQm1jGlznT7p,2017-08-27
78,79,"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)",Major Lazer,28351,https://open.spotify.com/track/3Ytr1SUCUi6J3L9dRFx5iH,2017-08-27
79,80,Because of You,Shota Shimizu,28179,https://open.spotify.com/track/2LwjA3u1bTgnhfbR4MsPxw,2017-08-27
80,81,Home,Shota Shimizu,28041,https://open.spotify.com/track/5PF0IW8iHqOcTWAyRqiDzb,2017-08-27
81,82,Bank Account,21 Savage,27733,https://open.spotify.com/track/5eqK0tbzUPo2SoeZsov04s,2017-08-27
82,83,キセキ,GReeeeN,27646,https://open.spotify.com/track/7ztdl6cnbJgHRdMkKldkts,2017-08-27
83,84,We Are,ONE OK ROCK,27641,https://open.spotify.com/track/57sk9X1fPLXRfkw74XNrmK,2017-08-27
84,85,Bodak Yellow,Cardi B,27492,https://open.spotify.com/track/2771LMNxwf62FTAdpJMQfM,2017-08-27
85,86,Shake It Off,Taylor Swift,27207,https://open.spotify.com/track/0cqRj7pUJDkTCEsJkx8snD,2017-08-27
86,87,1-800-273-8255,Logic,27168,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV,2017-08-27
87,88,24K Magic,Bruno Mars,27115,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,2017-08-27
88,89,Different Man,AKLO,27084,https://open.spotify.com/track/0XJMS3oV6rv69jZElWweA8,2017-08-27
89,90,STAY TUNE,Suchmos,26698,https://open.spotify.com/track/0albLGvYx6ftOUJ7KF0i5I,2017-08-27
90,91,Story of Our Life,HIRAIDAI,26565,https://open.spotify.com/track/7FyHSAzfTFu88aDOpOIVtH,2017-08-27
91,92,Sugar,Maroon 5,26475,https://open.spotify.com/track/494OU6M7NOf4ICYb4zWCf5,2017-08-27
92,93,鱗(うろこ),Motohiro Hata,26390,https://open.spotify.com/track/2RobEQGaFJS8tZ0EWnCtld,2017-08-27
93,94,Congratulations,Post Malone,26329,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9,2017-08-27
94,95,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,26308,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb,2017-08-27
95,96,We Don't Talk Anymore,Charlie Puth,26032,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV,2017-08-27
96,97,Fire,Shota Shimizu,25900,https://open.spotify.com/track/0eEaGQuEZo5sEuJzU5kwkW,2017-08-27
97,98,呼吸,Masaki Suda,25897,https://open.spotify.com/track/5kTNsZfxTxJ3I8S7PNIrUj,2017-08-27
98,99,One Last Time,Ariana Grande,25857,https://open.spotify.com/track/7bJwvubZZaoGE1AGEfu8Fi,2017-08-27
99,100,Believer,Imagine Dragons,25766,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6,2017-08-27
100,101,BUTTERFLY EFFECT,Travis Scott,25541,https://open.spotify.com/track/1yxgsra98r3qAtxqiGZPiX,2017-08-27
101,102,小さな恋のうた,MONGOL800,25515,https://open.spotify.com/track/7swIKcU4tFRk4iFJpi12Fg,2017-08-27
102,103,It Ain't Me (with Selena Gomez),Kygo,25369,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe,2017-08-27
103,104,Beautiful,HIRAIDAI,25027,https://open.spotify.com/track/5A4xCfm0MybwPbAdVqoJe2,2017-08-27
104,105,What About Us,P!nk,24910,https://open.spotify.com/track/31MkGwj0SWgZaTvEt5Hgxv,2017-08-27
105,106,WASTED LOVE,Hiroomi Tosaka,24817,https://open.spotify.com/track/6vVtJoHIZIjbQAlw1TFX05,2017-08-27
106,107,CHEER UP,TWICE,24781,https://open.spotify.com/track/6jIpuClSFwyBoGTwwpkKU5,2017-08-27
107,108,Would You Ever,Skrillex,24706,https://open.spotify.com/track/57p8CBvPOxrvyCbn6ttl5r,2017-08-27
108,109,Kataomoi,miwa,24664,https://open.spotify.com/track/17DfKcV1gBdfMBdzsf4NQx,2017-08-27
109,110,Kanzen kankaku Dreamer,ONE OK ROCK,24626,https://open.spotify.com/track/1XT0cpl9g0GuRQJao2nqXd,2017-08-27
110,111,夏の思い出,Ketsumeishi,24512,https://open.spotify.com/track/22uQDAWeupUDmr3Qit0abI,2017-08-27
111,112,Let Me Love You,DJ Snake,24339,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-08-27
112,113,はじまりの予感,Ketsumeishi,24263,https://open.spotify.com/track/2k84FgJC2Qbj8lRf0lp1Qn,2017-08-27
113,114,Re:make,ONE OK ROCK,24212,https://open.spotify.com/track/6IghCx6jRj5VHEmXKQH2pR,2017-08-27
114,115,Love ☆ Queen,E-girls,24190,https://open.spotify.com/track/5C5m0n29iXtAg5cQZt6cEN,2017-08-27
115,116,Me Rehúso,Danny Ocean,24151,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl,2017-08-27
116,117,MAGIC,AAA,23807,https://open.spotify.com/track/0K4Wg6Pwx0cOuJkN8xvuto,2017-08-27
117,118,Mitakotomonaikeshiki,Masaki Suda,23789,https://open.spotify.com/track/31FaowDBExlcRt5DHIXOkQ,2017-08-27
118,119,SIGNAL,TWICE,23676,https://open.spotify.com/track/3BbfgC1wM6x5TRYgAVZYi0,2017-08-27
119,120,Good Life (with G-Eazy & Kehlani),G-Eazy,23640,https://open.spotify.com/track/1Eck97uRMlprKOOJN9oO1E,2017-08-27
120,121,Jelly Jelly,TWICE,23490,https://open.spotify.com/track/2GJxT761mGTQocouI2oLTe,2017-08-27
121,122,Paris,The Chainsmokers,23463,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG,2017-08-27
122,123,イト,Creep Hyp,23274,https://open.spotify.com/track/4v6edT4Ogf8qXGphyFfg1u,2017-08-27
123,124,また逢う日まで,HIRAIDAI,23004,https://open.spotify.com/track/3awymLmIrvn9lkJeFpmRSf,2017-08-27
124,125,Break Free,Ariana Grande,22932,https://open.spotify.com/track/1X2Zd5wKGbY1oKzb8dzJRy,2017-08-27
125,126,Friend Of Mine (feat. Vargas & Lagola),Avicii,22850,https://open.spotify.com/track/5WEqjIUHkwZ5h3DSE7F9bM,2017-08-27
126,127,Milk Tea,Shota Shimizu,22810,https://open.spotify.com/track/0ijT1F143SdGb45SQB3rHk,2017-08-27
127,128,Slide (feat. Frank Ocean & Migos),Calvin Harris,22562,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl,2017-08-27
128,129,Remember,Awich,22452,https://open.spotify.com/track/22HV45yz3qAOXQLGRAkHYK,2017-08-27
129,130,See You Again (feat. Charlie Puth),Wiz Khalifa,22433,https://open.spotify.com/track/6IcrwGdIvRsrImOnoYfG9Z,2017-08-27
130,131,Praying,Kesha,22312,https://open.spotify.com/track/0jdny0dhgjUwoIp5GkqEaA,2017-08-27
131,132,美女と野獣,Ariana Grande,22304,https://open.spotify.com/track/1KT0xdIjm7t053xByACrrg,2017-08-27
132,133,KNOCK KNOCK,TWICE,22232,https://open.spotify.com/track/3rQjCycDV0Ibadg6A1Nq45,2017-08-27
133,134,Starving,Hailee Steinfeld,22092,https://open.spotify.com/track/6875MeXyCW0wLyT72Eetmo,2017-08-27
134,135,Into You,Ariana Grande,21835,https://open.spotify.com/track/7yHEDfrJNd0zWOfXwydNH0,2017-08-27
135,136,Felices los 4,Maluma,21576,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn,2017-08-27
136,137,BOOMBAYAH,BLACKPINK,21207,https://open.spotify.com/track/1dB06EmjB6NyftV1pxq6Qk,2017-08-27
137,138,Bad Liar,Selena Gomez,21078,https://open.spotify.com/track/1sCxVKWImDZSZKvG0U9B23,2017-08-27
138,139,Silhouette,KANA-BOON,21012,https://open.spotify.com/track/21z1GxeHjfD3qkaF5CgCTO,2017-08-27
139,140,OMG,Camila Cabello,20950,https://open.spotify.com/track/4xBjsLUSjcx2h7PcRikpQp,2017-08-27
140,141,All My Love (feat. Conor Maynard),Cash Cash,20905,https://open.spotify.com/track/1839RWzPRZCVgvamu4sHSN,2017-08-27
141,142,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,20786,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-08-27
142,143,Dirty Work,Austin Mahone,20667,https://open.spotify.com/track/5A4QP4EpcPxD5CapYSJfeV,2017-08-27
143,144,WHISTLE - KR Ver.,BLACKPINK,20546,https://open.spotify.com/track/67BbMuItfrHmaNqDxBPF7c,2017-08-27
144,145,オレンジ,GReeeeN,20389,https://open.spotify.com/track/0rduVGD3WmGciFFb6sUScg,2017-08-27
145,146,Castle on the Hill,Ed Sheeran,20020,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT,2017-08-27
146,147,Dear Life,Beck,19927,https://open.spotify.com/track/33AsbevnJ1aQjEHdkMExsE,2017-08-27
147,148,PLAYING WITH FIRE - KR Ver.,BLACKPINK,19573,https://open.spotify.com/track/5OepnJhqZoyJN8qWo2LZzy,2017-08-27
148,149,Cold Water (feat. Justin Bieber & MØ),Major Lazer,19566,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p,2017-08-27
149,150,どんなときも。,Sonoko Inoue,19562,https://open.spotify.com/track/72hy5aHFbC5U6vOF3bwpMv,2017-08-27
150,151,Make Up,Yurufuwa Gang,19561,https://open.spotify.com/track/65KlshIGPBSnlf0SWfhb40,2017-08-27
151,152,Problem,Ariana Grande,19376,https://open.spotify.com/track/7fYbFYt7X4FZvuJJC90EX0,2017-08-27
152,153,First Time,Kygo,19192,https://open.spotify.com/track/2Gl0FzuLxflY6nPifJp5Dr,2017-08-27
153,154,Blank Space,Taylor Swift,19073,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g,2017-08-27
154,155,Thinking out Loud,Ed Sheeran,18742,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg,2017-08-27
155,156,Bonita,J Balvin,18618,https://open.spotify.com/track/693iqPOQvhI7PobtR8CC8v,2017-08-27
156,157,Still Got Time,ZAYN,18616,https://open.spotify.com/track/000xQL6tZNLJzIrtIgxqSl,2017-08-27
157,158,Just the Way You Are,Bruno Mars,18545,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ,2017-08-27
158,159,Wiper,Suchmos,18529,https://open.spotify.com/track/0KjILTvrVubwbbxw5Rldxq,2017-08-27
159,160,THANK YOU FOR THE MUSIC - Nui!,bonobos,18456,https://open.spotify.com/track/6adHLVcdYkQRMcLAcKq5YX,2017-08-27
160,161,Darling Break Free,AmPm,18347,https://open.spotify.com/track/7JFyFGvIXZEKdfGUiRVBTY,2017-08-27
161,162,Bang Bang,Jessie J,18312,https://open.spotify.com/track/3oEekS4xhmFQ88ieCVTZ7H,2017-08-27
162,163,Sorry Not Sorry,Shota Shimizu,18187,https://open.spotify.com/track/3cjlIkGj2T8TWkBdSfEHnE,2017-08-27
163,164,Everyday,Ariana Grande,17928,https://open.spotify.com/track/3FiE2d325mIOc4YjkSLVJR,2017-08-27
164,165,Una Lady Como Tú,Manuel Turizo,17649,https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF,2017-08-27
165,166,Versace on the Floor,Bruno Mars,17598,https://open.spotify.com/track/0kN8xEmgMW9mh7UmDYHlJP,2017-08-27
166,167,Call Me Maybe,Carly Rae Jepsen,17508,https://open.spotify.com/track/20I6sIOMTCkB6w7ryavxtO,2017-08-27
167,168,Instruction (feat. Demi Lovato & Stefflon Don),Jax Jones,17454,https://open.spotify.com/track/0XfOi87h82i09rQjWYG0Bm,2017-08-27
168,169,Wake Me Up - Radio Edit,Avicii,17390,https://open.spotify.com/track/6g1NlCpW7fgqDnWbCCDrHl,2017-08-27
169,170,Girl,Motohiro Hata,17274,https://open.spotify.com/track/3khLfnWKvEJuJLrcASCXWF,2017-08-27
170,171,LOVER,AAA,17248,https://open.spotify.com/track/4Q6tJExe0LhBW6nhgEN8PC,2017-08-27
171,172,Perfect,Ed Sheeran,17247,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,2017-08-27
172,173,Beautiful Now,Zedd,17193,https://open.spotify.com/track/7FJP35tUJ2121EJsFpU1Gh,2017-08-27
173,174,Yasashisade Afureruyouni,Flower,17118,https://open.spotify.com/track/2NgQV5lmGPPTTlrHXeAPJ7,2017-08-27
174,175,ふたりごと - 一生に一度のワープVer.,RADWIMPS,16990,https://open.spotify.com/track/6FZGeOJzBQ6KI8lyqaztae,2017-08-27
175,176,Call On Me - Ryan Riback Extended Remix,Starley,16967,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,2017-08-27
176,177,Don't Let Me Down,The Chainsmokers,16959,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm,2017-08-27
177,178,We Are Never Ever Getting Back Together,Taylor Swift,16933,https://open.spotify.com/track/7AEAGTc8cReDqcbPoY9gwo,2017-08-27
178,179,Photograph,Ed Sheeran,16923,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy,2017-08-27
179,180,Uptown Funk (feat. Bruno Mars),Mark Ronson,16849,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS,2017-08-27
180,181,涙のない世界,AAA,16816,https://open.spotify.com/track/3glfyV9FhK872pJcAtOjeI,2017-08-27
181,182,Solo Dance,Martin Jensen,16743,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN,2017-08-27
182,183,たいようの哀悼歌,Flower,16669,https://open.spotify.com/track/24ntcqBHV6PpbGLgXdkv3e,2017-08-27
183,184,Kataomoi,Aimer,16438,https://open.spotify.com/track/6g93YtKKHU2H1qIqhLIL0Y,2017-08-27
184,185,366nichi (feat. Izumi Nakasone),Shota Shimizu,16350,https://open.spotify.com/track/3KOAjzxIJdreRSzffGLYoa,2017-08-27
185,186,RUSH,RIRI,16332,https://open.spotify.com/track/3IIRfFYKHPYTgKHw3oJUVn,2017-08-27
186,187,WanteD! WanteD!,Mrs. GREEN APPLE,16330,https://open.spotify.com/track/4m8ayeTlVnsYAtR42NhDqZ,2017-08-27
187,188,You Could Be,R3HAB,16133,https://open.spotify.com/track/1PM8OIREXRl5lFb06852rr,2017-08-27
188,189,ひまわりの約束,Motohiro Hata,16131,https://open.spotify.com/track/315z5bDr8oJ0OAxD3jQZmH,2017-08-27
189,190,君と羊と青,RADWIMPS,16125,https://open.spotify.com/track/7omUuXZu2DVHqYRUkdOENh,2017-08-27
190,191,Like OOH-AHH,TWICE,16045,https://open.spotify.com/track/2SivUkzgql54t0O4dH1b7O,2017-08-27
191,192,Taking Off,ONE OK ROCK,15936,https://open.spotify.com/track/7bmdV1IiqeCIK1Lb3klDVV,2017-08-27
192,193,Blood Sweat & Tears,BTS,15851,https://open.spotify.com/track/5RGf8qn1TBWVplLyyKUsuV,2017-08-27
193,194,Aitai,Miliyah,15824,https://open.spotify.com/track/26b8AQqACTxOEWpEejMPLY,2017-08-27
194,195,愛してるのに、愛せない,AAA,15616,https://open.spotify.com/track/2GLp1Arz4ZtihdjdL9m80W,2017-08-27
195,196,Good Time,Owl City,15456,https://open.spotify.com/track/5w6TVvv71F8px5cObg2xnx,2017-08-27
196,197,Ittekinoeikyou,UVERworld,15433,https://open.spotify.com/track/2JrFLSgCKWRuLfRTwemuKU,2017-08-27
197,198,Damage,Shota Shimizu,15415,https://open.spotify.com/track/3zielyGhYKYzWSdzSxfYoO,2017-08-27
198,199,Tda'''Aitakute,EXILE,15378,https://open.spotify.com/track/2wAf64UF5cK7mlAUfvVPl9,2017-08-27
199,200,Escápate Conmigo,Wisin,15351,https://open.spotify.com/track/2cnKEkpVUSV4wnjQiTWfH6,2017-08-27
0,1,打上花火,DAOKO×米津玄師,153405,https://open.spotify.com/track/7pcTLUekZJQnzDOUDuExVJ,2017-09-03
1,2,Shape of You,Ed Sheeran,146965,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2017-09-03
2,3,Look What You Made Me Do,Taylor Swift,136061,https://open.spotify.com/track/6uFsE1JgZ20EXyU0JQZbUR,2017-09-03
3,4,Friends (with BloodPop®),Justin Bieber,107646,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz,2017-09-03
4,5,Despacito - Remix,Luis Fonsi,101879,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,2017-09-03
5,6,2U (feat. Justin Bieber),David Guetta,86844,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M,2017-09-03
6,7,Mama,Jonas Blue,86226,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w,2017-09-03
7,8,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,85961,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke,2017-09-03
8,9,New Rules,Dua Lipa,83739,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0,2017-09-03
9,10,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,79376,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,2017-09-03
10,11,Without You (feat. Sandro Cavazza),Avicii,78852,https://open.spotify.com/track/6WbADFqMvR8N5u0BvtsWQE,2017-09-03
11,12,Sorry Not Sorry,Demi Lovato,75494,https://open.spotify.com/track/25C5CowdsfXld2jJanbiex,2017-09-03
